date,replicate,shelter_trend,State,state_name
2021-01-05,1,0.41529204075363785,11001,Bogota
2021-01-06,1,0.42262925661004846,11001,Bogota
2021-01-07,1,0.42907974921336084,11001,Bogota
2021-01-08,1,0.4345225099051389,11001,Bogota
2021-01-09,1,0.43884273994281664,11001,Bogota
2021-01-10,1,0.44193606205047514,11001,Bogota
2021-01-11,1,0.4437126634114355,11001,Bogota
2021-01-12,1,0.44410119121295033,11001,Bogota
2021-01-13,1,0.44305222317755283,11001,Bogota
2021-01-14,1,0.44054114554144796,11001,Bogota
2021-01-15,1,0.4365702894718613,11001,Bogota
2021-01-16,1,0.4311702033167512,11001,Bogota
2021-01-17,1,0.4243999713029851,11001,Bogota
2021-01-18,1,0.416346527927024,11001,Bogota
2021-01-19,1,0.40712295959545813,11001,Bogota
2021-01-20,1,0.3968658291278676,11001,Bogota
2021-01-21,1,0.38573160245504107,11001,Bogota
2021-01-22,1,0.3738922981223707,11001,Bogota
2021-01-23,1,0.36153051700248423,11001,Bogota
2021-01-24,1,0.3488340400662365,11001,Bogota
2021-01-25,1,0.3359902045585903,11001,Bogota
2021-01-26,1,0.3231802822297508,11001,Bogota
2021-01-27,1,0.31057408655785534,11001,Bogota
2021-01-28,1,0.29832502881513456,11001,Bogota
2021-01-29,1,0.2865658255212984,11001,Bogota
2021-01-30,1,0.27540503294517316,11001,Bogota
2021-01-31,1,0.2649245489887088,11001,Bogota
2021-02-01,1,0.25517818058144737,11001,Bogota
2021-02-02,1,0.24619132755933804,11001,Bogota
2021-02-03,1,0.23796178410706323,11001,Bogota
2021-02-04,1,0.2304616085870218,11001,Bogota
2021-02-05,1,0.22363996439546274,11001,Bogota
2021-02-06,1,0.21742679074556265,11001,Bogota
2021-02-07,1,0.21173712515993506,11001,Bogota
2021-02-08,1,0.20647587084167857,11001,Bogota
2021-02-09,1,0.2015427834621497,11001,Bogota
2021-02-10,1,0.19683744424936062,11001,Bogota
2021-02-11,1,0.19226399003399075,11001,Bogota
2021-02-12,1,0.18773538598569894,11001,Bogota
2021-02-13,1,0.18317705244742244,11001,Bogota
2021-02-14,1,0.17852969229528665,11001,Bogota
2021-02-15,1,0.17375120786765416,11001,Bogota
2021-02-16,1,0.1688176445588449,11001,Bogota
2021-02-17,1,0.16372314919723097,11001,Bogota
2021-02-18,1,0.15847898268070768,11001,Bogota
2021-02-19,1,0.15311167533912992,11001,Bogota
2021-02-20,1,0.14766045754630347,11001,Bogota
2021-02-21,1,0.1421741348636026,11001,Bogota
2021-02-22,1,0.1367076044789539,11001,Bogota
2021-02-23,1,0.13131822640055196,11001,Bogota
2021-02-24,1,0.12606226782960447,11001,Bogota
2021-02-25,1,0.12099163204739127,11001,Bogota
2021-02-26,1,0.1161510643332746,11001,Bogota
2021-02-27,1,0.11157599784456831,11001,Bogota
2021-02-28,1,0.10729116359399654,11001,Bogota
2021-03-01,1,0.10331004273170113,11001,Bogota
2021-03-02,1,0.09963518876508988,11001,Bogota
2021-03-03,1,0.09625939490245283,11001,Bogota
2021-03-04,1,0.0931676302921153,11001,Bogota
2021-03-05,1,0.09033962143374705,11001,Bogota
2021-03-06,1,0.08775291416886763,11001,Bogota
2021-03-07,1,0.08538621979109118,11001,Bogota
2021-03-08,1,0.08322282786696211,11001,Bogota
2021-03-09,1,0.08125385966447762,11001,Bogota
2021-03-10,1,0.07948114033263692,11001,Bogota
2021-03-11,1,0.07791948514406213,11001,Bogota
2021-03-12,1,0.07659822447745329,11001,Bogota
2021-03-13,1,0.07556183237221753,11001,Bogota
2021-03-14,1,0.0748695724193455,11001,Bogota
2021-03-15,1,0.07459412993902009,11001,Bogota
2021-03-16,1,0.07481925794066524,11001,Bogota
2021-03-17,1,0.07563652314989239,11001,Bogota
2021-03-18,1,0.07714129425294253,11001,Bogota
2021-03-19,1,0.07942816441011091,11001,Bogota
2021-03-20,1,0.08258604127578256,11001,Bogota
