zipcode,Grade,start_date,end_date,InPerson,Total_students,Capacity
27250,UNIVERSITY,2021-03-26,2021-04-09,0.46248349618823553,21,0.022023023628011215
27250,UNIVERSITY,2021-04-09,2021-04-18,0.4665280649102374,21,0.022215622138582733
27250,UNIVERSITY,2021-04-18,2021-04-26,0.4592832482095472,21,0.021870630867121293
27250,UNIVERSITY,2021-05-10,2021-05-24,0.4592832482095472,21,0.021870630867121293
27361,SECONDARY,2021-02-15,2021-03-05,141.6440315838365,10098,0.014026939154667904
27361,SECONDARY,2021-03-05,2021-03-12,141.6440315838365,10098,0.014026939154667904
27361,SECONDARY,2021-03-12,2021-03-19,141.6440315838365,10098,0.014026939154667904
27361,SECONDARY,2021-03-19,2021-03-26,141.6440315838365,10098,0.014026939154667904
27361,SECONDARY,2021-03-26,2021-04-09,141.6440315838365,10098,0.014026939154667904
27361,SECONDARY,2021-04-09,2021-04-18,141.6440315838365,10098,0.014026939154667904
27361,SECONDARY,2021-04-18,2021-04-26,118.8183929400836,10098,0.011766527326211487
27361,SECONDARY,2021-05-10,2021-05-24,118.8183929400836,10098,0.011766527326211487
27361,UNIVERSITY,2021-02-15,2021-03-05,17.44042253648996,1125,0.0155025978102133
27361,UNIVERSITY,2021-03-05,2021-03-12,17.44042253648996,1125,0.0155025978102133
27361,UNIVERSITY,2021-03-12,2021-03-19,18.635364977419933,1125,0.016564768868817716
27361,UNIVERSITY,2021-03-19,2021-03-26,19.391168223450585,1125,0.01723659397640052
27361,UNIVERSITY,2021-03-26,2021-04-09,24.775901581512617,1125,0.022023023628011215
27361,UNIVERSITY,2021-04-09,2021-04-18,24.992574905905574,1125,0.022215622138582733
27361,UNIVERSITY,2021-04-18,2021-04-26,24.604459725511454,1125,0.021870630867121293
27361,UNIVERSITY,2021-05-10,2021-05-24,24.604459725511454,1125,0.021870630867121293
27372,SECONDARY,2021-02-15,2021-03-05,18.52534448056975,1858,0.009970583681684473
27372,SECONDARY,2021-03-05,2021-03-12,18.52534448056975,1858,0.009970583681684473
27372,SECONDARY,2021-03-12,2021-03-19,18.52534448056975,1858,0.009970583681684473
27372,SECONDARY,2021-03-19,2021-03-26,18.52534448056975,1858,0.009970583681684473
27372,SECONDARY,2021-03-26,2021-04-09,18.52534448056975,1858,0.009970583681684473
27372,SECONDARY,2021-04-09,2021-04-18,18.52534448056975,1858,0.009970583681684473
27372,SECONDARY,2021-04-18,2021-04-26,18.52534448056975,1858,0.009970583681684473
27372,SECONDARY,2021-05-10,2021-05-24,18.52534448056975,1858,0.009970583681684473
27413,SECONDARY,2021-02-15,2021-03-05,86.18826443721937,1790,0.048149868400681216
27413,SECONDARY,2021-03-05,2021-03-12,86.18826443721937,1790,0.048149868400681216
27413,SECONDARY,2021-03-12,2021-03-19,79.2045208236569,1790,0.04424833565567425
27413,SECONDARY,2021-03-19,2021-03-26,79.48165350673479,1790,0.04440315838365072
27413,SECONDARY,2021-03-26,2021-04-09,79.48165350673479,1790,0.04440315838365072
27413,SECONDARY,2021-04-09,2021-04-18,79.48165350673479,1790,0.04440315838365072
27413,SECONDARY,2021-04-18,2021-04-26,79.48165350673479,1790,0.04440315838365072
27413,SECONDARY,2021-05-10,2021-05-24,79.48165350673479,1790,0.04440315838365072
27413,UNIVERSITY,2021-02-15,2021-03-05,0.015502597810213297,1,0.015502597810213297
27413,UNIVERSITY,2021-03-05,2021-03-12,0.015502597810213297,1,0.015502597810213297
27413,UNIVERSITY,2021-03-12,2021-03-19,0.016564768868817716,1,0.016564768868817716
27413,UNIVERSITY,2021-03-19,2021-03-26,0.01723659397640052,1,0.01723659397640052
27413,UNIVERSITY,2021-03-26,2021-04-09,0.022023023628011215,1,0.022023023628011215
27413,UNIVERSITY,2021-04-09,2021-04-18,0.022215622138582733,1,0.022215622138582733
27413,UNIVERSITY,2021-04-18,2021-04-26,0.021870630867121293,1,0.021870630867121293
27413,UNIVERSITY,2021-05-10,2021-05-24,0.021870630867121293,1,0.021870630867121293
27425,SECONDARY,2021-02-15,2021-03-05,1.7010063477318473,227,0.007493420034061001
27425,SECONDARY,2021-03-05,2021-03-12,1.7010063477318473,227,0.007493420034061001
27425,SECONDARY,2021-03-12,2021-03-19,1.7010063477318473,227,0.007493420034061001
27425,SECONDARY,2021-03-19,2021-03-26,1.7010063477318473,227,0.007493420034061001
27425,SECONDARY,2021-03-26,2021-04-09,1.7010063477318473,227,0.007493420034061001
27425,SECONDARY,2021-04-09,2021-04-18,1.7010063477318473,227,0.007493420034061001
27425,SECONDARY,2021-04-18,2021-04-26,1.7010063477318473,227,0.007493420034061001
27425,SECONDARY,2021-05-10,2021-05-24,1.7010063477318473,227,0.007493420034061001
27430,SECONDARY,2021-02-15,2021-03-05,2.283697166744078,6146,0.0003715745471435207
27430,SECONDARY,2021-03-05,2021-03-12,2.283697166744078,6146,0.0003715745471435207
27430,SECONDARY,2021-03-12,2021-03-19,2.283697166744078,6146,0.0003715745471435207
27430,SECONDARY,2021-03-19,2021-03-26,2.283697166744078,6146,0.0003715745471435207
27430,SECONDARY,2021-03-26,2021-04-09,2.283697166744078,6146,0.0003715745471435207
27430,SECONDARY,2021-04-09,2021-04-18,2.283697166744078,6146,0.0003715745471435207
27430,SECONDARY,2021-04-18,2021-04-26,2.283697166744078,6146,0.0003715745471435207
27430,SECONDARY,2021-05-10,2021-05-24,2.283697166744078,6146,0.0003715745471435207
27450,SECONDARY,2021-02-15,2021-03-05,9.518377457810807,2479,0.0038396036538163804
27450,SECONDARY,2021-03-05,2021-03-12,2.686638798575631,2479,0.0010837590958352687
27450,SECONDARY,2021-03-12,2021-03-19,2.686638798575631,2479,0.0010837590958352687
27450,SECONDARY,2021-03-19,2021-03-26,2.686638798575631,2479,0.0010837590958352687
27450,SECONDARY,2021-03-26,2021-04-09,2.686638798575631,2479,0.0010837590958352687
27450,SECONDARY,2021-04-09,2021-04-18,2.686638798575631,2479,0.0010837590958352687
27450,SECONDARY,2021-04-18,2021-04-26,2.686638798575631,2479,0.0010837590958352687
27450,SECONDARY,2021-05-10,2021-05-24,2.686638798575631,2479,0.0010837590958352687
27491,SECONDARY,2021-02-15,2021-03-05,14.466604737575476,2553,0.005666511843938691
27491,SECONDARY,2021-03-05,2021-03-12,11.857872735717605,2553,0.004644681839294009
27491,SECONDARY,2021-03-12,2021-03-19,11.857872735717605,2553,0.004644681839294009
27491,SECONDARY,2021-03-19,2021-03-26,11.857872735717605,2553,0.004644681839294009
27491,SECONDARY,2021-03-26,2021-04-09,4.031676730143985,2553,0.0015791918253599629
27491,SECONDARY,2021-04-09,2021-04-18,4.031676730143985,2553,0.0015791918253599629
27491,SECONDARY,2021-04-18,2021-04-26,4.031676730143985,2553,0.0015791918253599629
27491,SECONDARY,2021-05-10,2021-05-24,4.031676730143985,2553,0.0015791918253599629
27495,SECONDARY,2021-02-15,2021-03-05,12.246911286576871,2709,0.004520823656912835
27495,SECONDARY,2021-03-05,2021-03-12,12.246911286576871,2709,0.004520823656912835
27495,SECONDARY,2021-03-12,2021-03-19,12.246911286576871,2709,0.004520823656912835
27495,SECONDARY,2021-03-19,2021-03-26,12.246911286576871,2709,0.004520823656912835
27495,SECONDARY,2021-03-26,2021-04-09,12.246911286576871,2709,0.004520823656912835
27495,SECONDARY,2021-04-09,2021-04-18,12.246911286576871,2709,0.004520823656912835
27495,SECONDARY,2021-04-18,2021-04-26,12.246911286576871,2709,0.004520823656912835
27495,SECONDARY,2021-05-10,2021-05-24,12.246911286576871,2709,0.004520823656912835
27580,SECONDARY,2021-02-15,2021-03-05,8.741755689735253,1947,0.004489859111317542
27580,SECONDARY,2021-03-05,2021-03-12,8.741755689735253,1947,0.004489859111317542
27580,SECONDARY,2021-03-12,2021-03-19,8.741755689735253,1947,0.004489859111317542
27580,SECONDARY,2021-03-19,2021-03-26,8.741755689735253,1947,0.004489859111317542
27580,SECONDARY,2021-03-26,2021-04-09,8.741755689735253,1947,0.004489859111317542
27580,SECONDARY,2021-04-09,2021-04-18,8.741755689735253,1947,0.004489859111317542
27580,SECONDARY,2021-04-18,2021-04-26,8.741755689735253,1947,0.004489859111317542
