Date,ICU_admissions,ICU_cancelled,ICU_deaths,ICU_admissions_demand,Prop,ICU_admissions_bog
2021-06-05,183,78,19,261,0,183
2021-06-06,189,83,22,272,0,189
2021-06-07,226,115,24,341,0,226
2021-06-08,207,82,32,289,0,207
2021-06-09,231,85,38,316,0,231
2021-06-10,214,65,29,279,0,214
2021-06-11,219,101,23,320,0,219
2021-06-12,211,56,24,267,0,211
2021-06-13,222,72,25,294,0,222
2021-06-14,192,63,27,255,0,192
2021-06-15,265,66,29,331,0,265
2021-06-16,199,72,25,271,0,199
2021-06-17,204,81,24,285,0,204
2021-06-18,228,68,13,296,0,228
2021-06-19,197,60,26,257,0,197
2021-06-20,196,50,22,246,0,196
2021-06-21,206,77,26,283,0,206
2021-06-22,217,74,21,291,0,217
2021-06-23,206,86,21,292,0,206
2021-06-24,211,61,20,272,0,211
2021-06-25,188,74,13,262,0,188
2021-06-26,163,51,17,214,0,163
2021-06-27,154,43,14,197,0,154
2021-06-28,187,50,11,237,0,187
2021-06-29,212,45,11,257,0,212
2021-06-30,185,50,12,235,0,185
2021-07-01,175,45,11,220,0,175
2021-07-02,158,30,7,188,0,158
2021-07-03,157,31,8,188,0,157
2021-07-04,145,32,6,177,0,145
2021-07-05,160,28,8,188,0,160
2021-07-06,131,30,8,161,0,131
2021-07-07,165,28,7,193,0,165
2021-07-08,137,33,8,170,0,137
2021-07-09,136,24,4,160,0,136
2021-07-10,118,26,5,144,0,118
2021-07-11,114,21,4,135,0,114
2021-07-12,111,18,3,129,0,111
2021-07-13,120,31,5,151,0,120
2021-07-14,101,14,3,115,0,101
2021-07-15,89,22,2,111,0,89
2021-07-16,95,20,1,115,0,95
2021-07-17,90,18,3,108,0,90
2021-07-18,89,10,0,99,0,89
2021-07-19,74,15,2,89,0,74
2021-07-20,62,7,1,69,0,62
2021-07-21,73,10,0,83,0,73
2021-07-22,62,11,2,73,0,62
2021-07-23,78,12,2,90,0,78
2021-07-24,64,7,1,71,0,64
2021-07-25,49,6,0,55,0,49
2021-07-26,60,4,1,64,0,60
2021-07-27,63,11,2,74,0,63
2021-07-28,52,6,2,58,0,52
2021-07-29,50,6,1,56,0,50
2021-07-30,32,7,2,39,0,32
2021-07-31,36,3,1,39,0,36
2021-08-01,49,5,1,54,0,49
2021-08-02,40,7,0,47,0,40
2021-08-03,38,10,4,48,0,38
