MunCode,Localidad,Date,Cases,Deaths
11001,5,2020-04-30,2,0
11001,5,2020-05-01,8,0
11001,5,2020-05-02,12,0
11001,5,2020-05-03,7,1
11001,5,2020-05-04,4,0
11001,5,2020-05-05,7,1
11001,5,2020-05-06,12,1
11001,5,2020-05-07,9,0
11001,5,2020-05-08,9,0
11001,5,2020-05-09,15,0
11001,5,2020-05-10,16,0
11001,5,2020-05-11,7,0
11001,5,2020-05-12,10,0
11001,5,2020-05-13,11,1
11001,5,2020-05-14,9,0
11001,5,2020-05-15,13,0
11001,5,2020-05-16,6,0
11001,5,2020-05-17,7,0
11001,5,2020-05-18,12,0
11001,5,2020-05-19,9,0
11001,5,2020-05-20,15,0
11001,5,2020-05-21,12,1
11001,5,2020-05-22,16,2
11001,5,2020-05-23,21,0
11001,5,2020-05-24,15,0
11001,5,2020-05-25,18,0
11001,5,2020-05-26,13,0
11001,5,2020-05-27,18,0
11001,5,2020-05-28,22,0
11001,5,2020-05-29,23,1
11001,5,2020-05-30,16,0
11001,5,2020-05-31,13,1
11001,5,2020-06-01,18,0
11001,5,2020-06-02,23,0
11001,5,2020-06-03,16,0
11001,5,2020-06-04,23,1
11001,5,2020-06-05,20,2
11001,5,2020-06-06,32,0
11001,5,2020-06-07,23,0
11001,5,2020-06-08,28,1
11001,5,2020-06-09,22,1
11001,5,2020-06-10,41,0
11001,5,2020-06-11,35,0
11001,5,2020-06-12,29,0
11001,5,2020-06-13,37,0
11001,5,2020-06-14,27,0
11001,5,2020-06-15,28,2
11001,5,2020-06-16,40,0
11001,5,2020-06-17,30,0
11001,5,2020-06-18,66,0
11001,5,2020-06-19,59,0
11001,5,2020-06-20,124,1
11001,5,2020-06-21,44,1
11001,5,2020-06-22,44,0
11001,5,2020-06-23,95,2
11001,5,2020-06-24,55,0
11001,5,2020-06-25,83,2
11001,5,2020-06-26,94,2
11001,5,2020-06-27,68,1
11001,5,2020-06-28,81,3
11001,5,2020-06-29,55,0
11001,5,2020-06-30,85,2
11001,5,2020-07-01,131,3
11001,5,2020-07-02,95,0
11001,5,2020-07-03,93,1
11001,5,2020-07-04,131,1
11001,5,2020-07-05,129,1
11001,5,2020-07-06,127,2
11001,5,2020-07-07,106,1
11001,5,2020-07-08,129,2
11001,5,2020-07-09,144,3
11001,5,2020-07-10,177,1
11001,5,2020-07-11,159,3
11001,5,2020-07-12,97,4
11001,5,2020-07-13,141,4
11001,5,2020-07-14,142,1
11001,5,2020-07-15,142,3
11001,5,2020-07-16,120,0
11001,5,2020-07-17,149,7
11001,5,2020-07-18,156,2
11001,5,2020-07-19,116,4
11001,5,2020-07-20,139,3
11001,5,2020-07-21,145,5
11001,5,2020-07-22,140,3
11001,5,2020-07-23,136,9
11001,5,2020-07-24,157,2
11001,5,2020-07-25,183,2
11001,5,2020-07-26,130,5
11001,5,2020-07-27,183,4
11001,5,2020-07-28,147,5
11001,5,2020-07-29,162,1
11001,5,2020-07-30,123,7
11001,5,2020-07-31,121,7
11001,5,2020-08-01,181,6
